EMOTION,TRANSCRIPTION
ang, I did exactly what they told me to do.
ang, I've got a life too ma'am
ang, There's nothing I can do for you.  Do you understand that?  Nothing.
ang, I've been to the back of the line five times.
ang, You're going to have to go back again.
ang, Okay.  What is it that I did wrong on the form that I have to start all over again?
ang," Okay.  Well, I can do that right here right now without going to the back of the line again.  See look initialed.  All done. Ready to go."
ang, Ma'am I have other people waiting in line right now.  I have other people waiting in line right now.
ang, I'm not starting over again.  No I have done this five times.  I am not starting over again.
ang, I mean look she's -she's perfectly nice.  She doesn't mind waiting for a couple of minutes because I've been here all day. I have a job to get back to.  I have kids to pick up from school.  I can't just stay here.
ang, like I said before right now.
ang, This is your job is to help people like me who need to get a new license.
ang, You're testing my goddamn patience.
ang, I'm testing your patience?
ang," I work in this fucking building all day. And I'm sick of it, okay?"
ang, I don't need to be.  I need to go and do other things with my time.  Okay.
ang," Please just put the form in, take the picture, let me get my license and get the hell out of here.  Please."
sad, So you're leaving tomorrow.
sad, Yeah.  They just called.
sad, This is really-this is unfair.
sad, I know.
sad, I don't know what to say.  I don't want to go but I don't have a lot of choice.
sad," And, uh, I'm afraid that if you, you know, when you leave, you won't come back."
sad, I'm going to come back.  I need you to believe that.
sad, Well you have to have faith because I don't have a choice and I have to go.
sad, Do you think I want to leave you?
sad, I have to do this.  I don't want to leave.  Do you think I want to miss seeing her grow up?
sad, And now- and now it's really shitty timing but now I have to go.
sad, What's that supposed to mean?
sad, I mean we can't-we're not a complete family without you here.
ang, Well I'll come back.  What is that supposed to mean?  You're not willing to wait for me to come back?
ang, That's all I'm saying... No you don't.
ang, Thanks that helps.
ang, I feel much better now.
ang," You're acting like, you know, you're the one who's going all through, you know, all this shit and it's really- it's really not."
ang, Yeah.  Of course I do because I didn't enlist in this stupid thing.  Why don't you just get out now and then-
ang, That's how you want to leave it?
sad," I don't know how else to leave it.  What, do you want me to lie to you?"
sad, You want me tell you that I'm okay with it?
sad, I want you to be okay with it as much as you can be.  I mean it's not a great situation but we don't have an option here.
sad, Well I can't be okay with it the same way you can't not go.  It just doesn't work that way.
sad, Fine.
hap, I have something to tell you.
neu, What?  You seem so excited.
hap, It's really exciting.  Don't you want to guess?
neu," Uh, you got a new car, a new house. Uh, a dog."
hap, Look.
hap, Yes.  He finally proposed.  I'm getting married.
hap, Holy shit that's amazing.
hap, I know. I'm so-
hap, Congratulations.
hap, Thank you. [LAUGHTER]
hap," I'm invited, right."
hap, You think. [LAUGHTER]
hap," Well actually we were just talking about today and I don't really want to do like the traditional church thing, you know.  So we are going to get married in the meadow."
hap, We're going to get married in the middle of a meadow. [LAUGHTER]
hap," Everybody's going to come up. We're going to stay in all the pretty cabins up there and, um, everybody's going to have, you know, really flowery sort of naturey stuff."
hap, So pretty.
hap, Very Midsummer Night's wedding.
hap, Thanks. Thanks a lot.  You're really helping the Excitement here. I hope no one dies.
hap," Okey Well- well-, you know what?  I was hoping that you would help"
hap, plan everything.  So then you can make sure that no one gets attacked by bears.
hap, Yeah.  I'll help plan.
hap, Yeah?
hap, Really?
hap," Okay.  It's going to be in, like, six months.  So we don't have a really long time."
neu, Why not browns?
neu," It's a light brown, tanish."
neu, I just think browns are really what you want to go with.  I mean I think there's more contrast between brown and green than there is-
neu, I know but you just asked me to-
neu, Okay.  Fine.  So green and what?
neu, Blue?
neu," Okay, fine. Greens and blues."
neu, Greens and blues and maybe a little light yellow?
neu, Yeah?
hap," Throw in a little- little, uh, trim in yellow.  Maybe some yellow flowers."
neu," Okay.  That sounds good. Um, and, uh, we're going to get like a five, uh, story cake, right?"
neu," I mean, you know, you're going to have at least, like, two hundred and fifty people come.  So we're going to need, you know, just a huge buffet."
hap, Yes.
neu," Fried chicken, mashed potatoes."
hap, because you're going to take care of everything.  You're going to think of all the details that I forget.
neu, Well I can't be in charge of this.  I mean I got things I got to do.
hap, Well this is really exciting.  I mean- I just- I couldn't be happier right now.
hap, I'm thrilled.  God.
hap, Ha ha ha.
hap, Ha ha.
hap, Just ecstatic.  I can't believe you're my best friend
hap, Just couldn't be any cooler.
hap," You're my best friend, we're growing up and now you're getting married. that's amazing"
hap, I know.  I've been waiting forever.  I can't believe it's finally happening.
hap, Wow.  I just- I- I- I feel like I'm going to faint.
hap, I'm so- all the blood
hap, You don't look like you're going to faint.
hap," has just rushed to my head, and I, and I mean honestly."
hap, I'm getting a little weak in the knees.
hap, So- So when are you getting married Mr. Excited?
hap, You haven't ruined it yet.
hap, You really like
neu," I don't know.  Okay.  I mean gosh.  There's just- look there's a lot of pressure in getting married, okay."
hap, You could make her that excited.  You really like her.  You guys have been together for a really long time now.
hap, [LAUGHTER] That's more than I needed to know.
hap, [laughter]
neu, That's helpful.
neu, Well I guess you're not trying hard enough.
neu," Just, I don't know, maybe you're not smart enough."
neu, I mean I don't know just go out and keep trying. Just-
neu, I don't know.
neu," Hey.  Look, I mean- you know."
ang, I'm really good at what I do.  I just don't know how to make someone else see that.
neu, Look bananas don't grow overnight.  Okay.
ang, What?  Who says that?  Bananas don't grow overnight.
neu, You need that- Time-
neu," You know- You need to just- you need, I mean it takes time to get a good job.  I mean-"
neu," look at me, like, you know. I mean, Hey, I- it took me, you know, like six years to get where I am now. I mean-"
ang," Yeah but you weren't unemployed for three years trying to find any job.  I mean at this point I'm going to go drive a cab or, you know, work at the gas station or something.  I don't even- I don't know what to do anymore."
ang, Clearly everything you're doing is completely wrong.
neu," I mean, well I mean i don't know; it doesn't really affect my life, you know."
neu," Yeah, I understand, but-"
ang, I don't even- I mean you have to have some kind of an idea.  Something you could possibly throw out there that I could maybe use.
neu," I don't know. Well like, I don't know. I mean-"
ang, I mean it's not like this is an
ang, extreme request.  I want to find a job.  Everybody wants to find a job. It's really not that.
neu, Clearly- cle- clearly you're doing something wrong.
ang," Okay. Okay, Fine."
neu," 'Cause if you've been looking, you've been applying for jobs for three years. And-"
ang, Okey So I'm doing something wrong.  What am I doing wrong?
ang, I'm really good at what I do.  I'm smart.  I'm trained.  I have the education.  I'm talented.  I cannot-
neu, Are you- I mean do you like get dressed up and everything when you go to the job interview?
neu," And you like- you know, you shave your legs and everything?"
neu," and I want- I mean you know you've got to, like, do your hair.  I mean- I don't know, it's like,"
neu," you know what I mean? You know, it's like they say presentation is, like eighty percent."
neu, or some- some large percent of- of success.
neu," Because I don't know I mean just, you know, just keep- keep- keep at it.  Keep trying.  Go-"
ang, Well you- just you're doing something wrong.
neu," Hey, I'd love to help you but I- you don't have the kind of training that I-"
neu, Well you've got to start somewhere.  I mean-
ang, What's my problem?  What's my problem? I don't have a job.
neu, I don't know it's like I'm trying to be-
ang, I thought I was pretty clear about what the problem was.
neu, I'm trying to be helpful.
neu, I'm trying to watch TV.
ang," Lost it just, like, I mean,"
ang, it's not like it just disappeared into thin air. Somebody wasn't paying attention
ang," because my bag was very easy to keep track of.  It's got big, you know, rainbow colored crap all over it and no one was paying attention because now it's just gone."
ang, No. No. I heard- I heard what you said.
ang," You're kidding me, right.  You're going to give me fifty dollars to completely cover my bag, everything that was in it, the inconvenience that I've gone through.  I paid for my ticket.  All I expect is to safely get to my destination with my stuff.  Is that so much to ask?  I mean I really don't think that's that big a deal to ask you guys to have my bag in the place where I leave and then put my bag where I end up."
ang," Yeah, well that's got everything I have in it."
ang, Look fifty dollars is unacceptable.  My bag itself cost over a hundred and fifty dollars.  You can't just give me fifty dollar gift certificate to Percoes or whatever the hell and then send me off like that's- that's good enough.  Like that's all I needed was fifty dollars.  My bag is worth more than that.
ang, I expect your airline who was responsible for my bag to give me the equivalent of the bag and all of the things in it.
ang, I didn't sign anything. I didn't sign anything. And you people have got to make-
ang, You have to make amends for what you did for losing my bag and all of my stuff.  Fifty dollars is unacceptable.
ang, No.  No.  I don't know. You know what? I'm going to call my lawyer. You know what?  That's what I'm going to do.  I'm going to call my lawyer and have him get down here and explain to you that this is an unacceptable option.
ang, I want to talk to your supervisor.
ang," I've had enough.  I want to talk to-no, no unacceptable I want to your supervisor. I am done with this."
ang," Really, you don't work for anybody.  It's just you?"
ang," Okay.  Well I want to call whoever you report to, whoever your boss is because I have had enough with this airline and I am finished waiting for my fifty dollar gift certificate."
sad," Hey, I'm, uh. I'm really sorry about what happened.  I don't um- I mean what you can you do?  I mean it's-"
sad, Thanks.
sad," When I was seven, my- my grandmother died and I really- I don't know, I mean it was really hard to let go but the important thing is- is that you do let go and your realize that, you know, they- you know, they- this person had fun while they were- while they were here and, uh, you know, you work- you work through it."
sad," You know it's just, I just, you know, I mean it just happened.  I just, like- I just keep expecting him to walk in, you know."
sad, Mmhmm. Yeah.  Yeah.  I mean it's- it's hard.  It's hard.
sad," I just- I just thought he would have longer, you know, because I'm- I mean when he found out he was sick, we knew that wasn't good but I just- I just thought that it would take longer, you know?"
sad, Yeah.
neu," Well I mean, you know, I mean it was I mean with that kind of condition,"
sad, Yeah. I know. I know.
sad," you know, it's inevitable  and I mean honestly it's- it's almost like"
neu," you know, you don't- you know, how long do you want the person to go through that, you know."
neu, It's sort of- it's almost better off to rest in peace than he is to live in pain.
sad," Yeah, I know. But I'd rather have him here with me, you know. It's just not fair.  I mean he- he didn't get to do like anything. I mean he was-"
sad," He was only twenty four and just so many things that we were going to do, you know, and now he won't get to do them and he won't get to be here when I do.  You know, like I'll get married some day and he won't be there, like, he won't get to see that."
sad, Yeah.
sad, It just doesn't seem fair.
sad," It's not fair but I mean that's, you know, the course of life is that, you know, you meet people and you lose them."
sad, You're okay
sad, Thank you for being here.
sad, You know I think- I think we should celebrate because I think that's what he would have wanted.
hap, [LAUGHTER] You're probably right.  He probably would be pissed if we were all sitting around being upset about it. He'd want us to have a party.
neu, Yeah.
hap, And to drink in his honor. [LAUGHTER]
sad," That's right.  That's right.  I mean he would want us to, you know, celebrate the life that he- that he lived and, you know, enjoy the rest of ours as much as we can."
sad," Yeah, I know."
sad, So-
neu," Hey, what's up?"
hap, Guess what came today?
hap, What?
hap, My acceptance letter.
hap, From U.S.C..
hap," Yes, I am."
hap," Well yeah, that's the general idea. [LAUGHTER]"
hap, That's awesome.  Congratulations.
hap, Big bad acceptance packet with all the information.  I'm going to U.S.C..
hap, That's amazing.  Wow.
hap, I know. [LAUGHTER]
hap," [LAUGHTER] Yeah, uh. No."
hap, [LAUGHTER] It's safe around there.
hap, The campus is beautiful. I'm so excited.
neu, I know but you should get like a taser or something.  I mean walking around the campus at night-
hap," Do you want to buy me some mace for my, you know, going away present?"
hap, There we go.  Perfect.
hap, And a taser.  Excellent.  Just make sure it's a big knife.
hap, I don't want any of those little puny ones.
neu," So, um- so what are you going to- what are you going to major in?"
hap, Well I was thinking maybe underwater basket weaving.
hap," U.S.C. has a major in that, right."
hap, They have - U.S.C. has everything because U.S.C. is the best school ever.
neu, they have that as a major?
neu, That's ridiculous.  I don't believe that.
hap, Okay.  Well I'm lying but-
neu," Seriously, what's your major?"
hap," Well, I haven't decided yet.  I want to try some things out."
neu, So you're undecided?
neu," Hey, that's cool."
neu," No, no.  It's totally cool.  I mean, like, this friend of mine he was- he's been undecided now for, like, the past like eleven years of his life."
hap, okay.  Well I'm not going to be undecided forever. [LAUGHTER]
neu," Uh, well-"
hap, And it's so close so you can come visit me all the time.
neu, You- you- you'll find.
hap," So this works out perfectly.  Because I was worried if I didn't get in to U.S.C., then I would have to go somewhere far away and then-"
neu," You'd have to, like go somewhere else, and, you know, we would be apart, and that would suck."
hap, Everything worked out perfectly.
hap, That's awesome.
hap, I know.  We should have a party.
hap, An I got accepted to U.S.C. party.
hap, No.  An I got accepted to U.S.C. party. [LAUGHTER]
neu," Oh, that's right. Okay, I see. Right, right, right."
neu, A party celebrating your acceptance.
hap, Right.  Now you're with me.
neu, That's cool.
hap, That is why I got accepted.
hap," Well, that's really cool that you're going to be staying in the same city and everything. so umm"
hap, I know.
neu," I don't know are you, like, I don't know.  Are you, like, available or anything?"
hap," Well I mean I don't know.  It's like you know I kind of had a crush on you throughout high school and, like"
hap," I don't know I just thought that, you know, maybe we could, you know, I don't know.  It's like, you know, just test the waters anyway.  I don't see what the problem is."
hap, What- what did you have in mind?
hap," Movies- movie, we'll go to a movie and a dinner and- and"
hap," actually, you know, there's this- there's this really cool restaurant, um, I don't know if you-  it's Red Lobster.  It's like down on"
hap, [LAUGHTER]
hap, Vermont.
hap," Wait, you've been there before?"
hap, On occasion I've heard of it.
hap," Oh, so well then you know that it's awesome."
hap, Yeah.  Totally.
hap," Right, so we'll go there and then- and then we'll get some ice cream and maybe we'll go putt-putt golfing."
hap, I am totally down with the ice cream.
neu, Okay.  Putt-putt golfing?
hap," Eh, we can work that part out."
hap," Yeah, you want to go.  No, you want to go. You want to go."
hap, Alright.
hap, I can see it in your eyes.  You want to go.
hap, party.
hap, Good. Alright we're so happy.
hap," That's right.  Um, so U.S.C. is a really nice school."
hap, I know.
neu, Are you going to take out loans or-
hap, Okay well that's not a happy part.  We don't want to talk about that.
hap," Well no.  I mean I have some scholarships and some financial aid and stuff but I'll have to, you know, I'll get a job"
hap, while I'm in school.  It'll be good.
hap, Yeah.  It will work out.  Maybe I could work at Red Lobster.
hap, I know.  Right down the street.
neu," But, um-"
neu," I mean, like, I don't know.  I'm just saying if you need to make some extra cash.  You can, you know"
neu, Or library.
neu, I just said the library
neu," or, um, campus cruiser.  You can drive people around."
hap, Excellent.  Drive drunk people around because you know that's all campus cruisers for.
neu, Right or you can run for student counsel.
hap," Okay.  No, that's dorky."
neu, Dorky?
hap, Yeah.
neu, It's important.
hap, Student counsel?
hap," No, it's dorky."
neu, Fine.  It's dorky.
hap, Social life.  Hello.
neu, But that'll fit you  because you're a dork.
hap, [LAUGHTER].
hap, [LAUGHTER].
hap, I dork.
hap," No.  But I'm thinking I might, you know, like audition for a play or something.  I don't really want to do the sorority thing.  I'm not really feeling that vibe with the"
neu," Yeah, you don't want to do the sorority thing because you'll probably get used and abused by"
neu, lots of drunk frat boys
neu, Yeah.
hap, What have you heard about the Greek system?
neu," I mean it's not really free because you have to pay for it, but yeah."
neu, Well do you think you're going to live on campus or off campus your first year?
neu," I hate to break this to you but you meet people by being cool, so-"
hap," Oh, oh, I'm sorry, my bad.  I'll have to, like, sign up for summer lessons from you before I go.  You can teach me how to be cool before I go to college."
neu," No, no, no.  You're right though.  I mean, you know, dorms are definitely the way to meet people.  I know that I was in an apartment off campus"
neu," that happened, you know, that was going on."
hap, That's what you're saying. I'm right. [LAUGHTER]
hap, me.
hap, Hello.  Thank you for calling Dell Taco Corporate.  Can I help you?
neu," Um, I basically, um I- I ordered some food"
neu," Okay.  Well, Did you go through the automated menu?  Most of your requests can be taken care of through that."
neu, Okay.  Well I'd be happy to-
neu," Sir, can- can you tell me which branch you went to.  We can start there."
neu," Okay.  Um, and what was the complaint?"
neu," Can you be a little more specific, sir?"
neu," Well I'm very sorry, sir.  They should have dealt with it at that particular branch.  I apologize for that, uh, but we can help you.  That's no worries.  We can take care of that.  So how much did you need to be refunded?"
neu," It was a hundred a sixty dollars.  I'm sorry, uh, sixteen dollars."
neu," Okay.  Um, I'm going to go ahead and transfer you over to another department.  They'll need your address."
ang," Look, I don't want to be transferred over to another- All I want to do is just give you my name and address so you can send me a check."
ang," Okay.  You understand that's all I want. Just don't give me a problem with this.  Okay, please because I'm very sensitive right now"
ang," and if I get sent to another operator, I'll have to tell them the same damn story again.  I don't- I think I'm just going to lose my mind.  So if you could please just not do that, that would be great.  Thank you."
ang, You don't understand because you've never gone to Del Taco and gotten the service that I've gotten.  You don't understand.
ang, You're not going to call the other operator. You're not going to call the the other operator.
ang, You're going to fill out a form on your desk
ang, because I know you're at a desk right now in your stupid corporate building and you're going to send me a check for sixteen dollars and forty two cents.
ang, Cindy?  Cindy what?
ang," Cindy, look.  If you don't get your ass a piece of paper that has a check"
ang," attached to it and you don't send it to me, I'm going to get very upset."
ang, But I'm giving you what you want.
neu, He saw it.
sad, Did you talk to him?
sad," No, I figured the best thing was to leave him alone."
sad, I could hear him right through the floor of my room.
ang, You know that Larry's not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?
ang," What do you want to do, argue with him?"
ang, I don't want to argue with him but it's time that he realizes that Larry's not coming back anymore.
ang, You can't say that to him.
ang, We've got to say it to him.
ang, How are you going to prove it?  Can you prove it?
ang, For God's sake three years.  Nobody comes back after three years.  It's insane.
ang, To you it is and to me but not to him.  You can talk yourself blue in the face but there's no body and no grave so where are you?
ang, The trouble is the goddamn newspapers.  Every month some boy turns up from nowhere so the next one is going to be Larry.
neu, You know why.
neu, I'm going to ask her to marry me.
neu," Well that's only your business, Chris."
ang, What do you want me to do?  You're old enough to know your own mind.
ang, Then it isn't just my business.
ang, Sometimes you infuriate me.  You know that?  Isn't it your business too if I tell this to father and he throws a fit about it.
ang, Sometimes you have a- Sometimes you have a talent for ignoring things.
ang, I ignore what I got to ignore. The girl is Larry's girl.
ang," From father's point of view, he's not dead and you have no right to take his girl."
ang," Now you can go on from there and you know where to go, but I'm telling you I don't know where to go.  See I don't know.  Now what can I do for you?"
neu, You're a considerate fellow.  There's nothing wrong in that.
ang, To hell with that.
sad, I wanted to get this settled first.
ang," and then we'll thrash it out with dad, right mom.  Don't avoid me."
ang, So what I'm not fast with women.
ang, I don't see why it has to be Annie.
ang, Because it is.
ang, Well that's a good answer but it don't answer anything.  You haven't seen her since you went to war.  It's been five years.
sad," These years when I think of someone for my wife, I think of Annie.  What do you want, a diagram?"
ang, You marry that girl.  You're pronouncing him dead.  Now what happens to your father?  Do you know because I don't?
ang," I've given it three years of thought.  I hoped that if I waited, dad would forget about Larry"
ang, Are you crazy?
ang, You've got a business here.  What the hell is this?
ang," The business, the business doesn't inspire me."
ang, Must you be inspired?
ang, Alright but don't think that way
ang," because what the hell did we work for?  This whole shooting match is just for you, Chris."
ang, But don't think that way.  You hear me?
ang, Yeah.  I can see that.
ang, Why did he invite her?
neu, Why does that bother you?
ang, It's been three years.  Why all of a sudden?
neu, Well maybe- maybe he just wanted to see her again.
neu, How do you know he's even thinking about it?
ang," What's going on here, Joe?"
ang," No, line."
neu," Uh, Then why is she still-she's not his girl, Joe"
ang," She's not his girl, Joe.  She knows she's not."
neu, You can't read her mind.
ang, Then why is she still single?  New York is full of men.  Why hasn't she married?
ang, Probably a hundred people told her she's foolish but she's waited.
ang, Because she knows what I know that's why.  She's faithful as a rock.
ang," She goes to sleep in his room and his memorial breaks in pieces.  Look, look at it.  Joe-"
ang," What does that mean, me above all?  Look at you.  You're shaking."
ang, What?
neu, I guess you know this is why I asked you to come.
hap, I guess this is why I came.
hap," Ann, I love you.  I love you a great deal.  I love you."
hap, I have no imagination that's all I know to tell you.
hap, I'm embarrassing you.  I didn't want to tell it to you here.  I
hap," Chris, I've been ready a long, long time."
neu, And he's gone forever.  You're sure?
hap, You started to write me.
hap, Every day since.
hap," I was waiting for you, Chris.  Till then you never wrote and then when you did what did you say.  I mean you sure can be ambiguous you know."
hap," Give me a kiss, Ann.  Give me a-God I kissed you."
hap," I kissed Annie.  How long, how long I've been waiting to kiss you."
hap, I'll never forgive you.  Why did you wait all these years?  All I've done is sit and wonder if I was crazy for thinking of you.
hap," Annie, we're going to live now.  I'm going to make you so happy."
sad," No, nothing like that."
sad, Yes.  I suppose I have been but it's going from me.
sad, There's so many things mixed up.
sad, You remember overseas I was in command of a company?
neu," Yeah, sure."
sad, Well I lost them.
sad, How many?
sad, Just about all.
sad, It takes a lot of time to toss that off because they weren't just men.
sad," For instance, one time it had been raining several days and this kid came to me and gave me his last pair of dry socks."
sad, I put them in my pocket. that's only a little thing but these are the kind of guys I had.
sad, They didn't die.  They killed themselves for each other.  I mean that exactly.  A little more selfish and they'd have been here today.
sad," And I got this idea watching them go down.  Everything was being destroyed see, but it seemed to me that there was one new thing that was made"
sad, a sort of responsibility man for man.  You understand me?
sad, And then I came home and it was amazing.
sad," I felt, what you said, ashamed somehow"
sad, because nobody was changed at all.  It seemed to make suckers out of a lot of guys.
sad," I felt wrong to be alive, to open the new bank book, to drive the new car, to see the new refrigerator."
sad," when you drive the new car, you have to know that it came out of the love a man can have for a man.  You've got to be a little better because of that."
sad, Otherwise what you have is really just loot and there's blood on it.  I didn't want to take any of it.
sad, I guess that included you.
hap," Annie, Annie I'm going to make a fortune for you."
hap, What'll I do with a fortune?
hap, What time is it?  They're supposed to run around midnight.  This is great isn't it?  Look at this night we've got here.  It couldn't be better.
neu, Fine.
hap," Is that, is that-that's just foam isn't it?  I can't even tell"
hap, I hope the moon stays out.  I wonder do they always run during a full moon.  I can't remember if it was full last year.  Remember?
neu," Are you cold?  Do you want my jacket?  We should have brought the blanket, our blanket."
hap," Ah, this is great, isn't it?  I didn't even think to bring a six-pack.  A six-pack would be just the ticket right about now."
ang, It's after eleven let's go home.
ang, There is no point in coming down here.
neu, That's my point too.
ang, I just don't.  It's stupid.
hap, Think about the people in Kansas.  They'd have to get plane tickets and hotel reservations to come see this.  We're just forty minutes away.  It's too good to pass up.
ang," Pass up what?  These little fish swim onto the beach, flop around, and then swim away and then they die."
hap, This is the big night for these guys.  Life's last orgy.
ang, What are you so excited about?  This isn't a moon landing we're talking about.  It's fish.  It's fish nobody even eats.
hap," like the swallows returning to Capistrano or the lemmings throwing themselves off the cliffs, like that.  There's mystery here and magic"
ang, I'm just not.
ang, Yes.
ang, We didn't see them the first time either.
ang, We just weren't in a good spot.  This is a much better spot.
hap," I've got good instincts for these things.  Look there. What's that.  Is that?  Is that, is that-no it's just seaweed isn't it."
hap," Ah, man this is great.  I wouldn't miss this for anything.  I mean think about this.  I know you're not interested but just think about this for a minute."
hap, Out there someplace there's this huge mass of silver fish heading this way.  They don't know why.  We don't know why.  It wasn't a decision.  They didn't take a vote.
hap, No one sent them a map or an invitation.  Just some little instinctual time release firecracker went off in their little bodies and all as one. They turned and formed a line as long as the California coast and started swimming.
hap, They're swimming right now as if that's the only thing that matters.
hap, It's single mindedness with no mind.  Urgency that's pure urge.
hap, They don't know what drives them.  They don't give it a name or ask question.  They just turn as one and start the swim that brings them here to this place
hap, where we stand for massive celebration of sex and death.
hap," Ah, I'm giving myself goose bumps.  All my hairs are popping up."
ang, About what?
ang, It's ridiculous.
neu," Well, so what do you think?"
ang, It's PR.  Somebody sold you a bill of goods that this wonderful event is going to take place on the beach.
ang, Goddamn it Augie don't ask me that.  You always ask me that.  I hate it when you ask me that.  It's insulting.
ang, We just have different ideas about what this evening is supposed to look like.
ang," For heaven's sake, this is not about fish."
neu, We totally skipped. Right.
ang," For heaven's sake, grow up we are not going to see the Grunions."
ang, We never do.  Do we have we ever?
ang, Twice is every time we've tried that's ever.
ang, and the fish won't show up.
sad, We thought I was pregnant and we had a bottle of champagne but no glasses.  You asked me to dance.  So we took off our shoes
sad," and you popped the cork and while we were dancing, you said the softest most intimate things to me"
sad, right into my ear so that I could hear them as much as- so that I could feel them as much as hear them.
sad," And I remember thinking this is it.  At last, at last I'm as happy as I'm supposed to be."
neu, Wait a minute.  I've got it.
sad," Dancing barefoot in the sand, drinking champagne from the bottle."
neu," It was in the car right.  Driving past the Knickerbocker Liquor Locker, you said let's get some champagne and I said times a wasting or something like that.  Right?"
hap," That's it, right?  You want this to be like the other time, right.  That's it."
sad, I would rather not remember some things.  I would rather not hope for some things.
neu, No.
neu, You want me to get some champagne?
sad, No.
ang, No.
ang," This what, what is this?  This isn't even anything."
ang," Oh, right, sure this is standing on the beach.  This is waiting.  This is fighting."
sad," I know you are, Augie.  Really I do.  I know you wanted this to be special and nice and it's the full moon and the sand and all but I just couldn't help thinking about being somewhere else."
sad, Maybe if you were with somebody else too.
sad," No, I know but still.  I know I don't make you happy."
sad, somebody who knew how to enjoy herself and didn't take everything so hard.
neu," Actually now that you mention it, no I don't."
neu, I don't know.  It seemed like a good spot to me.
hap," Yeah, I noticed that.  Looks pretty on the water doesn't it, big old white moon."
hap, Well look at what we got here.
hap," Oh, Augie you brought refreshments."
neu, It's not champagne.
hap, Well then I guess we don't need glasses.
hap, I'm beginning to think you might be right.  I think this may be the spot after all.  Augie I'm sorry.
hap, Ahh.  It sent shivers up my spine.
hap, What shall we do if they suddenly walk in on us?
hap, Behave exquisitely.
hap, With the most perfect poise.
hap, Certainly I shall probably do a court curtsy.
hap," Things that ought to matter dreadfully don't matter at all when one's happy, do they?"
neu," Don't say that, my darling."
hap, It's true the whole business is very poor joke.
hap, Don't laugh at me.  I'm serious.
neu, Who's they?
hap," Oh, how long will it last, this ludicrous, over-bearing love of ours?"
neu, Well who knows?
neu, What happens if one of us dies?  Does the one that's left still laugh?
hap," Thank you, dear.  The same applies to you except that if I catch you so much as looking at another woman, I'll kill you."
neu, Do you remember that awful scene in Venice?
hap, Which particular one?
neu, The one where you bought that little painted wooden snake and put it on my bed.
hap," Oh, Charles.  That was his name.  Charles he did wriggle so beautifully."
neu, Horrible thing.  I hated it.
hap," Yes, I know you did.  You threw him out of the window into the Grand Canal.  I don't think I'll ever forgive you for that."
neu, How long did that row last?
neu, The worst one was in Cannes when your curling irons burnt holes in my dressing gown.
hap, It burnt my comb too and all the towels in the bathroom.
hap, Then the manager came in and found us rolling about on the floor biting and scratching like panthers.
hap," How ridiculous.  How utterly, utterly ridiculous."
hap, And very much sillier.
